clustername	contigname
nneighs_2	Ssample_8CNODE_414_length_13999_cov_6.186747
nneighs_2	Ssample_8CNODE_35_length_76721_cov_6.206010
nneighs_2	Ssample_0CNODE_790_length_12032_cov_4.630792
nneighs_2	Ssample_3CNODE_1135_length_3130_cov_2.315772
nneighs_2	Ssample_3CNODE_309_length_6462_cov_3.005775
nneighs_2	Ssample_8CNODE_13_length_113018_cov_6.175465
nneighs_2	Ssample_5CNODE_1197_length_9607_cov_22.974351
nneighs_2	Ssample_0CNODE_2694_length_4203_cov_37.203713
nneighs_2	Ssample_3CNODE_818_length_3682_cov_3.266060
nneighs_2	Ssample_5CNODE_376_length_25795_cov_80.360490
nneighs_2	Ssample_8CNODE_129_length_35338_cov_6.194201
nneighs_2	Ssample_3CNODE_1529_length_2606_cov_3.314387
nneighs_2	Ssample_8CNODE_680_length_8423_cov_5.908580
nneighs_2	Ssample_5CNODE_275_length_32430_cov_80.400958
nneighs_2	Ssample_8CNODE_34_length_79689_cov_6.255695
nneighs_2	Ssample_8CNODE_544_length_10609_cov_5.106689
nneighs_2	Ssample_0CNODE_281_length_38059_cov_40.760420
nneighs_2	Ssample_0CNODE_1311_length_7614_cov_5.517529
nneighs_2	Ssample_0CNODE_394_length_25758_cov_40.618527
nneighs_2	Ssample_3CNODE_1516_length_2617_cov_2.476190
nneighs_2	Ssample_3CNODE_1537_length_2599_cov_2.299135
nneighs_2	Ssample_0CNODE_1004_length_9852_cov_42.436562
nneighs_2	Ssample_3CNODE_2002_length_2196_cov_2.370388
nneighs_2	Ssample_5CNODE_219_length_38207_cov_26.818253
nneighs_2	Ssample_0CNODE_1390_length_7260_cov_4.283276
nneighs_2	Ssample_3CNODE_2196_length_2068_cov_2.406855
nneighs_2	Ssample_8CNODE_142_length_34176_cov_6.466604
nneighs_2	Ssample_0CNODE_6112_length_2041_cov_4.038268
nneighs_2	Ssample_8CNODE_218_length_25342_cov_6.234191
nneighs_2	Ssample_0CNODE_454_length_21567_cov_4.691660
nneighs_2	Ssample_0CNODE_154_length_73380_cov_41.087283
nneighs_2	Ssample_0CNODE_340_length_29579_cov_39.848903
nneighs_2	Ssample_0CNODE_586_length_15842_cov_39.230253
nneighs_2	Ssample_5CNODE_67_length_123505_cov_31.678348
nneighs_2	Ssample_0CNODE_5056_length_2427_cov_3.204047
nneighs_2	Ssample_5CNODE_92_length_83845_cov_25.597422
nneighs_2	Ssample_0CNODE_3477_length_3382_cov_43.662459
nneighs_2	Ssample_5CNODE_129_length_64534_cov_26.943330
nneighs_2	Ssample_5CNODE_186_length_46773_cov_84.739030
nneighs_2	Ssample_0CNODE_10_length_405585_cov_40.887688
nneighs_2	Ssample_0CNODE_317_length_33799_cov_39.998904
nneighs_2	Ssample_3CNODE_1409_length_2727_cov_2.261228
nneighs_2	Ssample_8CNODE_199_length_26913_cov_6.507111
nneighs_2	Ssample_5CNODE_1013_length_11223_cov_25.454155
nneighs_2	Ssample_3CNODE_2120_length_2119_cov_2.759690
nneighs_2	Ssample_0CNODE_27_length_236593_cov_40.736486
nneighs_2	Ssample_8CNODE_158_length_31546_cov_6.493855
nneighs_2	Ssample_3CNODE_391_length_5722_cov_3.106935
nneighs_2	Ssample_0CNODE_3137_length_3696_cov_5.052183
nneighs_2	Ssample_5CNODE_25_length_266951_cov_79.567790
nneighs_2	Ssample_5CNODE_52_length_140372_cov_27.811491
nneighs_2	Ssample_8CNODE_122_length_35861_cov_6.077585
nneighs_2	Ssample_0CNODE_3997_length_2976_cov_3.035604
nneighs_2	Ssample_3CNODE_980_length_3367_cov_2.531401
nneighs_2	Ssample_5CNODE_358_length_26620_cov_78.245436
nneighs_2	Ssample_5CNODE_132_length_63493_cov_24.756455
nneighs_2	Ssample_8CNODE_20_length_97523_cov_6.299986
nneighs_2	Ssample_0CNODE_1600_length_6435_cov_39.358464
nneighs_2	Ssample_5CNODE_15_length_333215_cov_79.805199
nneighs_2	Ssample_0CNODE_3554_length_3306_cov_4.390957
nneighs_2	Ssample_8CNODE_4_length_160796_cov_6.241090
nneighs_2	Ssample_3CNODE_2266_length_2029_cov_2.845998
nneighs_2	Ssample_3CNODE_1291_length_2871_cov_3.493253
nneighs_2	Ssample_5CNODE_112_length_75097_cov_30.919339
nneighs_2	Ssample_8CNODE_38_length_71947_cov_6.296431
nneighs_2	Ssample_0CNODE_19_length_282229_cov_37.796597
nneighs_2	Ssample_5CNODE_72_length_115927_cov_25.911411
nneighs_2	Ssample_3CNODE_621_length_4330_cov_3.131930
nneighs_2	Ssample_0CNODE_4959_length_2477_cov_42.001652
nneighs_2	Ssample_0CNODE_2605_length_4324_cov_39.955962
nneighs_2	Ssample_8CNODE_39_length_70835_cov_6.370656
nneighs_2	Ssample_8CNODE_699_length_8228_cov_5.805212
nneighs_2	Ssample_0CNODE_1178_length_8519_cov_38.848889
nneighs_2	Ssample_3CNODE_523_length_4780_cov_2.788571
nneighs_2	Ssample_0CNODE_158_length_71170_cov_40.713858
nneighs_2	Ssample_3CNODE_760_length_3827_cov_3.080594
nneighs_2	Ssample_8CNODE_95_length_41978_cov_6.198578
nneighs_2	Ssample_8CNODE_831_length_6867_cov_6.438491
nneighs_2	Ssample_3CNODE_585_length_4478_cov_3.079584
nneighs_2	Ssample_8CNODE_91_length_42458_cov_6.183053
nneighs_2	Ssample_5CNODE_117_length_70576_cov_80.060564
nneighs_2	Ssample_3CNODE_1327_length_2831_cov_2.810159
nneighs_2	Ssample_0CNODE_3932_length_3021_cov_43.628456
nneighs_2	Ssample_0CNODE_245_length_46192_cov_39.806078
nneighs_2	Ssample_3CNODE_1736_length_2418_cov_2.220059
nneighs_2	Ssample_5CNODE_44_length_157556_cov_28.164951
nneighs_2	Ssample_3CNODE_672_length_4135_cov_2.861275
nneighs_2	Ssample_3CNODE_2015_length_2188_cov_2.766995
nneighs_2	Ssample_8CNODE_40_length_69852_cov_6.163316
nneighs_2	Ssample_3CNODE_620_length_4332_cov_2.488426
nneighs_2	Ssample_5CNODE_90_length_86060_cov_24.442288
nneighs_2	Ssample_3CNODE_615_length_4347_cov_3.202703
nneighs_2	Ssample_0CNODE_737_length_12899_cov_3.650031
nneighs_2	Ssample_0CNODE_4326_length_2779_cov_40.666300
nneighs_2	Ssample_3CNODE_1126_length_3146_cov_3.184406
nneighs_2	Ssample_5CNODE_249_length_34739_cov_28.819859
nneighs_2	Ssample_3CNODE_644_length_4235_cov_2.990909
nneighs_2	Ssample_8CNODE_287_length_20039_cov_5.936449
nneighs_2	Ssample_8CNODE_211_length_25923_cov_6.361296
nneighs_2	Ssample_3CNODE_709_length_3976_cov_2.883193
nneighs_2	Ssample_3CNODE_1892_length_2288_cov_2.226601
nneighs_2	Ssample_5CNODE_43_length_160919_cov_30.239078
nneighs_2	Ssample_8CNODE_32_length_82725_cov_6.371356
nneighs_2	Ssample_3CNODE_748_length_3863_cov_2.815389
nneighs_2	Ssample_5CNODE_55_length_138474_cov_32.773398
nneighs_2	Ssample_3CNODE_370_length_5921_cov_2.816911
nneighs_2	Ssample_3CNODE_1880_length_2300_cov_2.665924
nneighs_2	Ssample_8CNODE_171_length_30364_cov_6.228381
nneighs_2	Ssample_3CNODE_431_length_5387_cov_3.398912
nneighs_2	Ssample_3CNODE_2286_length_2017_cov_1.853721
nneighs_2	Ssample_8CNODE_43_length_68486_cov_6.266064
nneighs_2	Ssample_5CNODE_103_length_79197_cov_24.931162
nneighs_2	Ssample_3CNODE_646_length_4230_cov_2.402156
nneighs_2	Ssample_3CNODE_708_length_3980_cov_2.497834
nneighs_2	Ssample_3CNODE_1594_length_2545_cov_2.877108
nneighs_2	Ssample_8CNODE_149_length_32943_cov_5.858094
nneighs_2	Ssample_8CNODE_157_length_31637_cov_6.060066
nneighs_2	Ssample_0CNODE_1675_length_6168_cov_4.119254
nneighs_2	Ssample_0CNODE_788_length_12064_cov_31.559580
nneighs_2	Ssample_8CNODE_263_length_21336_cov_6.408158
nneighs_2	Ssample_3CNODE_1759_length_2406_cov_3.054870
nneighs_2	Ssample_3CNODE_1309_length_2850_cov_3.007156
nneighs_2	Ssample_0CNODE_3956_length_3009_cov_3.843940
nneighs_2	Ssample_0CNODE_275_length_39538_cov_40.569992
nneighs_2	Ssample_3CNODE_1353_length_2799_cov_3.033163
nneighs_2	Ssample_0CNODE_259_length_43119_cov_41.122353
nneighs_2	Ssample_0CNODE_135_length_84857_cov_40.847563
nneighs_2	Ssample_5CNODE_42_length_169604_cov_77.816165
nneighs_2	Ssample_3CNODE_2292_length_2013_cov_4.009704
nneighs_2	Ssample_3CNODE_1021_length_3304_cov_2.787935
nneighs_2	Ssample_0CNODE_543_length_17330_cov_40.408220
nneighs_2	Ssample_8CNODE_73_length_52192_cov_6.639105
nneighs_2	Ssample_3CNODE_618_length_4337_cov_2.863148
nneighs_2	Ssample_8CNODE_82_length_46642_cov_6.143452
nneighs_2	Ssample_0CNODE_37_length_195771_cov_39.934517
nneighs_2	Ssample_3CNODE_2178_length_2079_cov_2.299901
nneighs_2	Ssample_5CNODE_13_length_346238_cov_78.120124
nneighs_2	Ssample_0CNODE_220_length_50085_cov_41.013232
nneighs_2	Ssample_5CNODE_19_length_326520_cov_80.565880
nneighs_2	Ssample_3CNODE_526_length_4769_cov_3.184132
nneighs_2	Ssample_3CNODE_860_length_3574_cov_2.162262
nneighs_2	Ssample_8CNODE_286_length_20083_cov_6.615738
nneighs_2	Ssample_8CNODE_295_length_19645_cov_6.242062
nneighs_2	Ssample_3CNODE_1165_length_3067_cov_2.333997
nneighs_2	Ssample_3CNODE_862_length_3567_cov_2.944191
nneighs_2	Ssample_0CNODE_133_length_86388_cov_41.177151
nneighs_2	Ssample_0CNODE_4905_length_2503_cov_38.844771
nneighs_2	Ssample_8CNODE_1014_length_5550_cov_5.543039
nneighs_2	Ssample_0CNODE_926_length_10422_cov_30.243561
nneighs_2	Ssample_8CNODE_33_length_80174_cov_6.355658
nneighs_2	Ssample_3CNODE_1363_length_2792_cov_2.246255
nneighs_2	Ssample_8CNODE_79_length_48816_cov_6.332294
nneighs_2	Ssample_0CNODE_3680_length_3200_cov_5.517965
nneighs_2	Ssample_0CNODE_322_length_33384_cov_37.157040
nneighs_2	Ssample_3CNODE_1421_length_2714_cov_2.286574
nneighs_2	Ssample_8CNODE_56_length_60995_cov_6.089514
nneighs_2	Ssample_3CNODE_2052_length_2158_cov_2.681883
nneighs_2	Ssample_0CNODE_540_length_17498_cov_6.006650
nneighs_2	Ssample_8CNODE_30_length_83907_cov_6.274019
nneighs_2	Ssample_0CNODE_1158_length_8651_cov_4.355863
nneighs_2	Ssample_3CNODE_1216_length_2990_cov_3.111414
nneighs_2	Ssample_0CNODE_4822_length_2539_cov_74.168680
nneighs_2	Ssample_8CNODE_105_length_39469_cov_6.242274
nneighs_2	Ssample_0CNODE_1268_length_7812_cov_4.272012
nneighs_2	Ssample_8CNODE_1533_length_3741_cov_6.458492
nneighs_2	Ssample_5CNODE_159_length_52276_cov_26.166312
nneighs_2	Ssample_5CNODE_56_length_137714_cov_81.460166
nneighs_2	Ssample_3CNODE_718_length_3949_cov_2.512840
nneighs_2	Ssample_0CNODE_197_length_55660_cov_39.071486
nneighs_2	Ssample_3CNODE_1656_length_2494_cov_3.111111
nneighs_2	Ssample_3CNODE_1320_length_2836_cov_2.953254
nneighs_2	Ssample_8CNODE_785_length_7302_cov_5.837864
nneighs_2	Ssample_3CNODE_601_length_4416_cov_2.840174
nneighs_2	Ssample_5CNODE_196_length_44640_cov_30.656432
nneighs_2	Ssample_3CNODE_330_length_6211_cov_2.495776
nneighs_2	Ssample_3CNODE_1875_length_2306_cov_2.702799
nneighs_2	Ssample_8CNODE_553_length_10478_cov_5.574211
nneighs_2	Ssample_0CNODE_172_length_67244_cov_36.872926
nneighs_2	Ssample_3CNODE_1253_length_2948_cov_2.617698
nneighs_2	Ssample_0CNODE_4601_length_2634_cov_4.245444
nneighs_2	Ssample_5CNODE_8_length_447435_cov_25.086989
nneighs_2	Ssample_3CNODE_752_length_3850_cov_2.710408
nneighs_2	Ssample_0CNODE_473_length_20318_cov_41.189360
nneighs_2	Ssample_3CNODE_782_length_3786_cov_3.432860
nneighs_2	Ssample_3CNODE_546_length_4664_cov_3.351920
nneighs_2	Ssample_3CNODE_1477_length_2654_cov_3.042709
nneighs_2	Ssample_8CNODE_300_length_19351_cov_6.622201
nneighs_2	Ssample_0CNODE_2471_length_4499_cov_3.943294
nneighs_2	Ssample_0CNODE_1354_length_7415_cov_4.668207
nneighs_2	Ssample_3CNODE_909_length_3468_cov_3.230003
nneighs_2	Ssample_0CNODE_180_length_63573_cov_40.710854
